All,Alla
"There are no search keywords.","Det finns inga sökord."
"View Statistics For:","Visa statistik för:"
"All Websites","Alla webbplatser"
"Reload Data","Ladda om Data"
"Browse Files...",Bläddra...
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright © %1 Magento Commerce Inc. Alla rättigheter är reserverade."
"Magento Admin Panel","Magento adminpanel"
"Account Setting",Kontoinställningar
"Customer View",Kundvy
"Sign Out","Logga ut"
"About the calendar","Om kalendern"
"Go Today","Gå till Idag"
Previous,Föregående
Next,Nästa
Time,Tid
Hour,Timme
Minute,Minut
"JavaScript may be disabled in your browser.","JavaScript kan vara inaktiverat i din webbläsare."
"To use this website you must first enable JavaScript in your browser.","För att använda denna webbplats måste du först aktivera JavaScript i din webbläsare."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Detta är bara en demo-butik. Du kan bläddra och placera order, men ingenting kommer att behandlas."
"Report an Issue","Rapportera ett problem"
"Stores Configuration","Butiks konfiguration"
"Additional Cache Management","Ytterligare cache hantering"
"Flush Catalog Images Cache","Töm katalogsbilder cachen"
"Pregenerated product images files","För-genererade produkt bild filer"
"Flush JavaScript/CSS Cache","Töm javascript/css cachen"
"Themes JavaScript and CSS files combined to one file","Teman Javascript och CSS filer kombinerade till en fil"
"Flush Static Files Cache","Töm statiska filer cachen"
"Preprocessed view files and static files","Förbehandlade vy-filer och statiska filer"
Catalog,Katalog
"No records found.","Inga poster funna."
Images,Bilder
"Big Image","Stor bild"
Thumbnail,Tumnagel
"Additional Settings","Ytterligare inställningar"
"records found","hittade poster"
selected,utvalda
"per page","per sida"
"Previous page","Föregående sida"
"of %1","av %1"
"Next page","Nästa sida"
"Export to:","Exportera till:"
"Mass Actions",Massåtgärd
"Unselect All","Avmarkera alla"
"Select Visible","Markera synliga"
"Unselect Visible","Avmarkera synliga"
"Changes have been made to this section that have not been saved.","Ändringar som har gjorts till detta avsnitt som inte har sparats."
"This tab contains invalid data. Please resolve this before saving.","Denna flik innehåller ogiltiga data. Vänligen åtgärda detta innan du sparar."
"The information in this tab has been changed.","Informationen i den här fliken har ändrats."
Loading...,Laddar...
"We could not detect a size.","Vi kunde inte hitta en storlek."
"Allow everything","Tillåt allt"
"Global Search","Global sökning"
Marketing,Marknadsföring
"SEO & Search","SEO & Sök"
"User Content",Användarinnehåll
Content,Innehåll
Elements,Element
Schedule,Schemaläggning
Settings,Inställningar
Attributes,Attribut
"Other Settings","Andra inställningar"
"Data Transfer",Dataöverföring
"Connect Manager","Anslutnings Manager"
Tools,Verktyg
Currency,Valuta
Communications,Kommunikation
Services,Tjänster
Advanced,Advancerat
"Disable Modules Output","Avaktivera modulers output"
"Store Email Addresses","Lagra e-postadresser"
"Custom Email 1","Skräddarsydd e-post 1"
"Sender Email","Avsändares e-post"
"Sender Name","Avsändarens namn"
"Custom Email 2","Skräddarsydd e-post 2"
"General Contact","Allmän kontakt"
"Sales Representative",Säljare
"Customer Support",Kundsupport
Developer,Utvecklare
"Template Settings",Sidmall-inställningar
"Allow Symlinks","Tillåt symboliska länkar"
"Minification is not applied in developer mode.","Minification tillämpas inte i utvecklingsläge."
"Translate Inline","Översätt Inline"
"Enabled for Storefront","Aktiverat för frontend"
"Enabled for Admin","Aktiverat för Admin"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Översätta, block och andra utdata cachar bör inaktiveras för både frontend och backend inline översättningar."
"JavaScript Settings",JavaScript-inställningar
"Merge JavaScript Files","Koppla JavaScript-filer"
"Enable JavaScript Bundling","Aktivera JavaScript kombinationserbjudanden"
"Minify JavaScript Files","Minify JavaScript-filer"
"CSS Settings",CSS-Inställningar
"Merge CSS Files","Koppla CSS-filer"
"Minify CSS Files","Minifiera CSS-filer"
"Image Processing Settings",Bildbearbetningsinställningar
"Image Adapter","Bild Adapter"
"Static Files Settings","Inställningar för statiska filer"
"Sign Static Files","Logga statiska filer"
"Country Options","Land alternativ"
"Allow Countries","Tillåta länder"
"Default Country",Standardland
"European Union Countries","Länder i Europeiska unionen"
"Top destinations","Populäraste resmålen"
"Locale Options","Locale alternativ"
Timezone,Tidszon
"First Day of Week","Första dagen i veckan"
"Weekend Days",Helgdagar
"Store Name",Butiksnamn
"Store Phone Number","Butikens telefonnummer"
"Store Hours of Operation","Butikens öppettider"
Country,Land
Region/State,Region/delstat
"ZIP/Postal Code",Postnummer
City,Stad
"Street Address",Gatuadress
"Street Address Line 2","Gatuadress Rad 2"
"VAT Number",VAT-nummer
"Single-Store Mode",Single-Store-läge
"Enable Single-Store Mode","Aktivera Single-Store-läge"
"This setting will not be taken into account if system has more than one store view.","Denna inställning kommer inte beaktas om system har mer än en butiksvy."
"Mail Sending Settings","Mailutskicks inställningar"
"Disable Email Communications","Inaktivera e-kommunikation"
Host,Värd
"Set Return-Path","Ställa in Return-Path"
"Admin User Emails","Admin användarens e-post"
"Forgot Password Email Template","Glömde lösenord e-postmall"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"Forgot and Reset Email Sender","Glömde och återställa e-postavsändare"
"Startup Page",Startsida
"Use Custom Admin URL","Använda anpassade Admin URL"
"Custom Admin URL","Anpassad Admin URL"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Kontrollera att bas-URL slutar med ' /' (snedstreck), e.g. http://yourdomain/magento/"
"Use Custom Admin Path","Använda anpassade Admin-sökväg"
"Custom Admin Path","Anpassad sökväg"
"You will have to sign in after you save your custom admin path.","Du kommer att behöva logga in när du har sparat din anpassade admin-sökväg."
Security,Säkerhet
"Recovery Link Expiration Period (hours)","Recovery länk förfallotid (timmar)"
"Please enter a number 1 or greater in this field.","Skriv in ett nummer 1 eller större i detta fält."
"Add Secret Key to URLs","Lägga till hemlig nyckel i webbadresser"
"Login is Case Sensitive","Inloggning är skiftlägeskänslig"
"Admin Session Lifetime (seconds)","Admin Session livstid (sekunder)"
"Please enter at least 60 and at most 31536000 (one year).","Skriv in minst 60 och på de flesta 31536000 (ett år)."
"Enable Charts","Aktivera diagram"
Web,Webb
"Url Options","Url alternativ"
"Add Store Code to Urls","Lägg till Butikskoder till urls"
"Auto-redirect to Base URL","Auto-omdirigering till bas-URL"
"Search Engine Optimization",Sökmotoroptimering
"Use Web Server Rewrites","Använda Web Server överskrivningar"
"Base URLs","Bas webbadresser"
"Base URL",Bas-URL
"Specify URL or {{base_url}} placeholder.","Ange URL-eller {{base_url}}."
"Base Link URL","Bas länk-URL"
"Base URL for Static View Files","Bas-URL för statiska Visa filer"
"May be empty or start with {{unsecure_base_url}} placeholder.","Kan vara tom eller starta med {{unsecure_base_url}} platshållare."
"Base URL for User Media Files","Bas-URL för användar mediafiler"
"Base URLs (Secure)","Bas webbadresser (säkert)"
"Secure Base URL","Säker bas-URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Ange Webbadressen eller {{base_url}}, eller {{unsecure_base_url}} platshållare."
"Secure Base Link URL","Säker bas länk URL"
"Secure Base URL for Static View Files","Säker bas-URL för statiska Visa filer"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Kan vara tom eller starta med {{secure_base_url}}, eller {{unsecure_base_url}} platshållare."
"Secure Base URL for User Media Files","Säker bas-URL för användaren mediefiler"
"Use Secure URLs on Storefront","Använd säkra webbadresser på skyltfönster"
"Use Secure URLs in Admin","Använd säkra webbadresser i Admin"
"Enable HTTP Strict Transport Security (HSTS)","Aktivera HTTP strikt Transport Security (HSTS)"
"Upgrade Insecure Requests","Uppgradera osäkra förfrågningar"
"Default Pages",Standardsidor
"Default Web URL","Standard Webbadress"
"Default No-route URL","Standard no-route-URL"
"Session Validation Settings","Inställningar för validering av session"
"Validate REMOTE_ADDR","Validera REMOTE_ADDR"
"Validate HTTP_VIA","Validera HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validera HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Validera HTTP_USER_AGENT"
"Cache Type",Cachetyp
Description,Beskrivning
Tags,Taggar
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404-fel</h1> <p>Sidan kan inte hittas.</p>"
"Default Theme",Standardtema
"Applied Theme","Tillämpat tema"
"Design Rule","Design regler"
"User Agent Rules","User Agent regler"
Pagination,Sidbrytning
"How many links to display at once.","Hur många länkar som ska visas på en gång."
"Pagination Frame",Sidbrytningsram
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Om nuvarande rams position inte täcker största antal sidor, renderar den länken till nuvarande position plus/minus detta värde."
"Pagination Frame Skip","Sidbrytnings frame skip"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternativ text för föregående sidor länk i menyn sidnumrering. Om den är tom, används standardbilden för pilen."
"Anchor Text for Previous","Ankartexten för föregående"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternativ text för föregående sidor länk i menyn sidnumrering. Om den är tom, används standardbilden för pilen."
"Anchor Text for Next","Ankartexten för nästa"
"Theme Name",Temanamn
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Om inget värde anges, används systemstandard. Systemstandard kan ändras genom tillägg från tredje part."
"System Backup","Säkerhetskopia av systemet"
"Database and Media Backup","Databas och Media Backup"
"Database Backup","Säkerhetskopiering av databasen"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arkivet kan vara komprimerade med <a href=""%1"">%2</a> på Windows-system."
"You need more permissions to activate maintenance mode right now.","Behöver du fler behörigheter att aktivera underhållsläge just nu."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Skapa säkerhetskopian, vänligen avmarkera ""Sätt store i underhållsläge"" eller uppdatera dina behörigheter."
"Something went wrong while putting your store into maintenance mode.","Något gick fel samtidigt sätta din butik i underhållsläge."
"You need more free space to create a backup.","Du behöver mer ledigt utrymme att skapa en säkerhetskopia."
"You need more permissions to create a backup.","Du behöver fler behörigheter att skapa en säkerhetskopia."
"We can't create the backup right now.","Vi kan inte skapa säkerhetskopian just nu."
Backups,Säkerhetskopior
Backup,Säkerhetskopiering
"We can't delete one or more backups.","Vi kan inte ta bort en eller flera säkerhetskopior."
failed,misslyckades
successful,lyckades
"You deleted the selected backup(s).","Du har tagit bort de markerade säkerhetskopiorna."
"Can't load snapshot archive","Kan inte ladda arkivet med ögonblicksbilder"
"Please correct the password.","Vänligen rätta lösenordet."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","För att slutföra återställningen, vänligen avmarkera ""Sätt store i underhållsläge"" eller uppdatera dina behörigheter."
